,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
212,4,7.11,川崎Ｆ,柏,3,1,H,62,79,10.9%,14,21.4%,56.1%,23.17,20.29,132.92,10.82,A,21,38,4.0%,5,20.0%,43.9%,9.78,9.01,106.54,13.68
362,4,7.12,清水,Ｇ大阪,1,2,H,60,41,19.5%,22,4.5%,59.5%,19.27,15.33,83.5,11.45,A,59,40,14.4%,16,12.5%,40.5%,16.19,12.08,75.74,15.81
606,4,7.11,大分,神戸,1,1,H,33,60,11.7%,11,9.1%,39.2%,8.76,7.58,68.5,13.68,A,40,67,13.7%,14,7.1%,60.8%,17.92,14.68,59.02,9.52
34,5,7.18,仙台,札幌,2,2,H,55,51,17.1%,19,10.5%,49.6%,17.16,11.86,103.35,12.69,A,49,45,13.6%,15,13.3%,50.4%,15.33,12.2,61.17,14.91
176,5,7.18,FC東京,浦和,2,0,H,58,46,13.5%,13,15.4%,45.4%,14.85,12.65,74.43,16.04,A,54,42,8.6%,9,0.0%,54.6%,18.01,14.34,71.78,10.79
80,5,7.18,鹿島,横浜FM,4,2,H,52,48,12.2%,16,25.0%,35.2%,10.19,6.29,130.21,13.82,A,52,48,10.3%,15,13.3%,64.8%,23.34,20.23,87.95,13.46
440,5,7.18,Ｇ大阪,大分,2,1,H,56,68,17.6%,18,11.1%,53.0%,19.69,17.07,58.77,9.27,A,32,44,8.7%,8,12.5%,47.0%,11.57,8.93,49.46,12.75
496,5,7.18,神戸,清水,3,1,H,50,50,16.0%,17,17.6%,52.4%,16.64,13.52,72.06,10.76,A,50,50,10.6%,10,10.0%,47.6%,16.17,14.21,83.52,13.03
404,5,7.18,名古屋,鳥栖,1,0,H,54,58,8.2%,8,12.5%,50.7%,16.06,13.12,66.6,8.68,A,42,46,9.6%,10,0.0%,49.3%,10.86,9.81,77.86,11.49
152,5,7.18,柏,湘南,3,2,H,51,61,11.0%,12,25.0%,44.8%,13.37,9.65,95.37,12.94,A,39,49,8.8%,10,20.0%,55.2%,13.24,10.57,73.39,16.95
536,5,7.18,広島,Ｃ大阪,1,2,H,60,53,11.9%,13,7.7%,47.8%,14.73,12.63,92.82,15.01,A,47,40,8.8%,10,10.0%,52.2%,15.72,13.5,85.23,12.72
284,5,7.18,横浜FC,川崎Ｆ,1,5,H,49,33,9.7%,10,10.0%,51.1%,18.46,13.46,91.13,14.61,A,67,51,21.0%,25,20.0%,48.9%,23.26,18.7,95.33,8.78
