,試合日,チーム名,スコア,攻撃,パス,クロス,ドリブル,シュート,ゴール,奪取,守備,セーブ,攻撃回数,シュート,チャンス構築率,ゴール,成功率,被攻撃回数,被シュート,被チャンス構築率,被ゴール,被成功率,ゴール期待値,ゴール,被ゴール期待値,被ゴール,総移動距離,相手との移動距離差,スプリント数,相手とのスプリント数差,ゴール,シュート,枠内シュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入
away,2021-5-22-18:00,名古屋,0,13.66,11.29,1.24,1.13,5.44,2.63,97.64,12.51,0.24,122.8,9.9,8.1%,1.0,9.6%,119.2,9.0,7.6%,0.7,7.5%,0.915,1.0,0.755,0.7,116.689km,0.718km,176.6,4.4,1.0,9.9,3.4,498.6,12.0,13.9,1.3,4.1,25.7,13.0,17.8,21.4,2.2,1.1,0.9,0.0,35.8,9.6
home,2021-8-9-19:00,徳島,2,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-8-9-19:00,Ｇ大阪,1,14.48,11.95,1.35,1.19,5.27,1.68,87.6,14.24,0.68,114.2,10.5,9.2%,0.7,7.1%,114.4,14.8,13.0%,1.0,6.7%,1.1179999999999999,0.7,1.5319999999999998,1.0,115.112km,-0.513km,160.2,-8.8,0.7,10.5,3.2,502.8,13.0,10.2,2.0,4.2,20.3,9.6,17.1,21.8,1.8,1.6,0.9,0.0,37.5,9.8
home,2021-3-6-14:00,徳島,1,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-3-6-14:00,神戸,1,14.45,12.14,1.47,0.85,5.79,3.84,99.24,14.15,0.44,118.7,10.9,9.2%,1.5,13.9%,118.3,11.6,9.8%,1.0,8.2%,1.324,1.5,1.1740000000000002,1.0,117.529km,0.886km,183.7,19.7,1.5,10.9,3.6,565.0,11.1,10.3,1.4,3.6,23.2,9.7,19.4,23.4,2.7,1.4,0.6,0.0,32.9,9.2
home,2021-3-13-14:00,徳島,1,13.50,11.60,0.85,1.05,4.88,2.08,90.96,12.73,0.27,113.7,10.0,8.8%,0.8,7.8%,114.1,11.0,9.6%,1.1,10.3%,0.948,0.8,1.184,1.1,116.381km,-0.315km,162.8,-12.4,0.8,10.0,2.6,530.3,9.9,11.0,1.1,4.0,21.5,10.1,17.6,18.4,1.7,1.3,0.9,0.0,36.8,8.0
away,2021-3-13-14:00,福岡,2,10.94,8.53,1.52,0.88,4.95,2.51,102.02,16.09,0.59,119.7,10.3,8.6%,1.0,9.3%,123.0,11.3,9.2%,1.2,10.3%,1.085,1.0,1.26,1.2,111.502km,-1.561km,176.1,9.9,1.0,10.3,2.7,350.0,13.8,10.5,1.8,4.5,22.8,7.9,21.6,28.0,1.4,1.0,1.3,0.1,28.1,8.8
home,2021-4-3-14:00,福岡,1,10.94,8.53,1.52,0.88,4.95,2.51,102.02,16.09,0.59,119.7,10.3,8.6%,1.0,9.3%,123.0,11.3,9.2%,1.2,10.3%,1.085,1.0,1.260,1.2,111.502km,-1.561km,176.1,9.9,1.0,10.3,2.7,350.0,13.8,10.5,1.8,4.5,22.8,7.9,21.6,28.0,1.4,1.0,1.3,0.1,28.1,8.8
away,2021-4-3-14:00,札幌,2,17.92,14.05,1.81,2.06,7.6,3.51,106.72,11.88,0.4,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.5319999999999998,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
home,2021-3-17-18:00,福岡,1,10.94,8.53,1.52,0.88,4.95,2.51,102.02,16.09,0.59,119.7,10.3,8.6%,1.0,9.3%,123.0,11.3,9.2%,1.2,10.3%,1.085,1.0,1.260,1.2,111.502km,-1.561km,176.1,9.9,1.0,10.3,2.7,350.0,13.8,10.5,1.8,4.5,22.8,7.9,21.6,28.0,1.4,1.0,1.3,0.1,28.1,8.8
